,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
0,Alabama,3711,0,0,32.3182,-86.9023
1,Alaska,802,9,9,61.3707,-152.4044
2,American Samoa,0,0,0,-14.270999999999999,-170.132
3,Arizona,8883,46,46,33.7298,-111.4312
4,Arkansas,2000,18,18,34.9697,-92.3731
5,California,46385,276,276,36.1162,-119.6816
6,Colorado,2011,39,39,39.0598,-105.3111
7,Connecticut,4412,104,104,41.5978,-72.7554
8,Delaware,809,7,7,39.3185,-75.5071
9,Diamond Princess,0,0,0,,
10,District of Columbia,257,4,4,38.8974,-77.0268
11,Florida,31518,217,217,27.7663,-81.6868
12,Georgia,7533,2,2,33.0406,-83.6431
13,Grand Princess,0,0,0,,
14,Guam,0,0,0,13.4443,144.7937
15,Hawaii,51,0,0,21.0943,-157.4983
16,Idaho,1122,12,12,44.2405,-114.4788
17,Illinois,11963,239,239,40.3495,-88.9861
18,Indiana,5317,94,94,39.8494,-86.2583
19,Iowa,915,48,48,42.0115,-93.2105
20,Kansas,11,1,1,38.5266,-96.7265
21,Kentucky,8709,75,75,37.6681,-84.6701
22,Louisiana,0,0,0,31.1695,-91.8678
23,Maine,343,6,6,44.6939,-69.3819
24,Maryland,2952,25,25,39.0639,-76.8021
25,Massachusetts,9003,79,79,42.2302,-71.5301
26,Michigan,9500,288,288,43.3266,-84.5361
27,Minnesota,2530,54,54,45.6945,-93.9002
28,Mississippi,1891,24,24,32.7416,-89.6787
29,Missouri,3368,4,4,38.4561,-92.2884
30,Montana,389,10,10,46.9219,-110.4544
31,Nebraska,546,1,1,41.1254,-98.2681
32,Nevada,1825,5,5,38.3135,-117.0554
33,New Hampshire,682,10,10,43.4525,-71.5639
34,New Jersey,6159,27,27,40.2989,-74.521
35,New Mexico,1237,32,32,34.8405,-106.2485
36,New York,15849,120,120,42.1657,-74.9481
37,North Carolina,18892,144,144,35.6301,-79.8064
38,North Dakota,121,1,1,47.5289,-99.78399999999999
39,Northern Mariana Islands,0,0,0,15.0979,145.6739
40,Ohio,14293,153,153,40.3888,-82.7649
41,Oklahoma,5134,38,38,35.5653,-96.9289
42,Oregon,2439,15,15,44.571999999999996,-122.0709
43,Pennsylvania,7895,28,28,40.5908,-77.2098
44,Puerto Rico,878,5,5,18.2208,-66.5901
45,Rhode Island,0,13,13,41.6809,-71.5118
46,South Carolina,5211,89,89,33.8569,-80.945
47,South Dakota,665,13,13,44.2998,-99.4388
48,Tennessee,17330,63,63,35.7478,-86.6923
49,Texas,18225,83,83,31.0545,-97.5635
50,Utah,5042,25,25,40.15,-111.8624
51,Vermont,277,3,3,44.0459,-72.7107
52,Virgin Islands,5,0,0,18.3358,-64.8963
53,Virginia,3989,36,36,37.7693,-78.17
54,Washington,0,0,0,47.4009,-121.4905
55,West Virginia,1507,12,12,38.4912,-80.9545
56,Wisconsin,1129,2,2,44.2685,-89.6165
57,Wyoming,164,0,0,42.756,-107.3025
58,Alabama,2476,1,1,32.3182,-86.9023
59,Alaska,297,0,0,61.3707,-152.4044
60,American Samoa,0,0,0,-14.270999999999999,-170.132
61,Arizona,17234,0,0,33.7298,-111.4312
62,Arkansas,2033,20,20,34.9697,-92.3731
63,California,31400,71,71,36.1162,-119.6816
64,Colorado,2078,22,22,39.0598,-105.3111
65,Connecticut,0,0,0,41.5978,-72.7554
66,Delaware,611,8,8,39.3185,-75.5071
67,Diamond Princess,0,0,0,,
68,District of Columbia,255,2,2,38.8974,-77.0268
69,Florida,10603,97,97,27.7663,-81.6868
70,Georgia,5778,4,4,33.0406,-83.6431
71,Grand Princess,0,0,0,,
72,Guam,0,0,0,13.4443,144.7937
73,Hawaii,112,0,0,21.0943,-157.4983
74,Idaho,308,0,0,44.2405,-114.4788
75,Illinois,4469,105,105,40.3495,-88.9861
76,Indiana,2981,63,63,39.8494,-86.2583
77,Iowa,820,0,0,42.0115,-93.2105
78,Kansas,0,0,0,38.5266,-96.7265
79,Kentucky,2855,25,25,37.6681,-84.6701
80,Louisiana,5783,49,49,31.1695,-91.8678
81,Maine,347,1,1,44.6939,-69.3819
82,Maryland,2148,27,27,39.0639,-76.8021
83,Massachusetts,3481,108,108,42.2302,-71.5301
84,Michigan,0,0,0,43.3266,-84.5361
85,Minnesota,2712,53,53,45.6945,-93.9002
86,Mississippi,1784,31,31,32.7416,-89.6787
87,Missouri,3218,19,19,38.4561,-92.2884
88,Montana,437,1,1,46.9219,-110.4544
89,Nebraska,738,3,3,41.1254,-98.2681
90,Nevada,2743,32,32,38.3135,-117.0554
91,New Hampshire,762,11,11,43.4525,-71.5639
92,New Jersey,4248,21,21,40.2989,-74.521
93,New Mexico,1015,17,17,34.8405,-106.2485
94,New York,12232,146,146,42.1657,-74.9481
95,North Carolina,6487,18,18,35.6301,-79.8064
96,North Dakota,150,0,0,47.5289,-99.78399999999999
97,Northern Mariana Islands,0,0,0,15.0979,145.6739
98,Ohio,6808,134,134,40.3888,-82.7649
99,Oklahoma,8032,20,20,35.5653,-96.9289
100,Oregon,1397,8,8,44.571999999999996,-122.0709
101,Pennsylvania,4852,58,58,40.5908,-77.2098
102,Puerto Rico,237,19,19,18.2208,-66.5901
103,Rhode Island,0,17,17,41.6809,-71.5118
104,South Carolina,8951,84,84,33.8569,-80.945
105,South Dakota,703,12,12,44.2998,-99.4388
106,Tennessee,4165,55,55,35.7478,-86.6923
107,Texas,15705,54,54,31.0545,-97.5635
108,Utah,1819,7,7,40.15,-111.8624
109,Vermont,104,1,1,44.0459,-72.7107
110,Virgin Islands,1,0,0,18.3358,-64.8963
111,Virginia,5010,7,7,37.7693,-78.17
112,Washington,8644,-2,-2,47.4009,-121.4905
113,West Virginia,1731,3,3,38.4912,-80.9545
114,Wisconsin,2593,5,5,44.2685,-89.6165
115,Wyoming,302,0,0,42.756,-107.3025
116,Alabama,2161,5,5,32.3182,-86.9023
117,Alaska,264,3,3,61.3707,-152.4044
118,American Samoa,0,0,0,-14.270999999999999,-170.132
119,Arizona,5158,3,3,33.7298,-111.4312
120,Arkansas,1306,51,51,34.9697,-92.3731
121,California,37114,268,268,36.1162,-119.6816
122,Colorado,2185,10,10,39.0598,-105.3111
123,Connecticut,4516,69,69,41.5978,-72.7554
124,Delaware,849,5,5,39.3185,-75.5071
125,Diamond Princess,0,0,0,,
126,District of Columbia,140,3,3,38.8974,-77.0268
127,Florida,11256,103,103,27.7663,-81.6868
128,Georgia,5163,7,7,33.0406,-83.6431
129,Grand Princess,0,0,0,,
130,Guam,18,0,0,13.4443,144.7937
131,Hawaii,42,0,0,21.0943,-157.4983
132,Idaho,798,11,11,44.2405,-114.4788
133,Illinois,5059,90,90,40.3495,-88.9861
134,Indiana,3617,110,110,39.8494,-86.2583
135,Iowa,1641,46,46,42.0115,-93.2105
136,Kansas,3950,18,18,38.5266,-96.7265
137,Kentucky,2317,26,26,37.6681,-84.6701
138,Louisiana,1123,48,48,31.1695,-91.8678
139,Maine,375,2,2,44.6939,-69.3819
140,Maryland,2483,33,33,39.0639,-76.8021
141,Massachusetts,4906,61,61,42.2302,-71.5301
142,Michigan,5490,85,85,43.3266,-84.5361
143,Minnesota,3144,13,13,45.6945,-93.9002
144,Mississippi,1616,13,13,32.7416,-89.6787
145,Missouri,2410,2,2,38.4561,-92.2884
146,Montana,283,3,3,46.9219,-110.4544
147,Nebraska,585,10,10,41.1254,-98.2681
148,Nevada,1418,26,26,38.3135,-117.0554
149,New Hampshire,494,1,1,43.4525,-71.5639
150,New Jersey,1797,17,17,40.2989,-74.521
151,New Mexico,921,23,23,34.8405,-106.2485
152,New York,11242,178,178,42.1657,-74.9481
153,North Carolina,5187,31,31,35.6301,-79.8064
154,North Dakota,199,2,2,47.5289,-99.78399999999999
155,Northern Mariana Islands,0,0,0,15.0979,145.6739
156,Ohio,5942,164,164,40.3888,-82.7649
157,Oklahoma,2716,5,5,35.5653,-96.9289
158,Oregon,708,6,6,44.571999999999996,-122.0709
159,Pennsylvania,3630,101,101,40.5908,-77.2098
160,Puerto Rico,636,10,10,18.2208,-66.5901
161,Rhode Island,4759,18,18,41.6809,-71.5118
162,South Carolina,3803,15,15,33.8569,-80.945
163,South Dakota,111,0,0,44.2998,-99.4388
164,Tennessee,3953,143,143,35.7478,-86.6923
165,Texas,14260,74,74,31.0545,-97.5635
166,Utah,2160,4,4,40.15,-111.8624
167,Vermont,80,4,4,44.0459,-72.7107
168,Virgin Islands,13,1,1,18.3358,-64.8963
169,Virginia,3771,8,8,37.7693,-78.17
170,Washington,1039,23,23,47.4009,-121.4905
171,West Virginia,828,20,20,38.4912,-80.9545
172,Wisconsin,1626,8,8,44.2685,-89.6165
173,Wyoming,382,0,0,42.756,-107.3025
174,Alabama,5498,8,8,32.3182,-86.9023
175,Alaska,200,0,0,61.3707,-152.4044
176,American Samoa,0,0,0,-14.270999999999999,-170.132
177,Arizona,5932,253,253,33.7298,-111.4312
178,Arkansas,4107,36,36,34.9697,-92.3731
179,California,35318,413,413,36.1162,-119.6816
180,Colorado,3458,47,47,39.0598,-105.3111
181,Connecticut,2332,24,24,41.5978,-72.7554
182,Delaware,767,8,8,39.3185,-75.5071
183,Diamond Princess,0,0,0,,
184,District of Columbia,262,4,4,38.8974,-77.0268
185,Florida,15431,98,98,27.7663,-81.6868
186,Georgia,10091,101,101,33.0406,-83.6431
187,Grand Princess,0,0,0,,
188,Guam,13,1,1,13.4443,144.7937
189,Hawaii,155,0,0,21.0943,-157.4983
190,Idaho,1538,12,12,44.2405,-114.4788
191,Illinois,6839,150,150,40.3495,-88.9861
192,Indiana,3395,65,65,39.8494,-86.2583
193,Iowa,1942,7,7,42.0115,-93.2105
194,Kansas,-168,95,95,38.5266,-96.7265
195,Kentucky,1693,23,23,37.6681,-84.6701
196,Louisiana,4467,50,50,31.1695,-91.8678
197,Maine,598,8,8,44.6939,-69.3819
198,Maryland,1956,55,55,39.0639,-76.8021
199,Massachusetts,4634,63,63,42.2302,-71.5301
200,Michigan,3031,217,217,43.3266,-84.5361
201,Minnesota,1573,18,18,45.6945,-93.9002
202,Mississippi,1767,91,91,32.7416,-89.6787
203,Missouri,4215,215,215,38.4561,-92.2884
204,Montana,714,30,30,46.9219,-110.4544
205,Nebraska,1448,10,10,41.1254,-98.2681
206,Nevada,2423,29,29,38.3135,-117.0554
207,New Hampshire,792,11,11,43.4525,-71.5639
208,New Jersey,7153,157,157,40.2989,-74.521
209,New Mexico,1184,20,20,34.8405,-106.2485
210,New York,13142,146,146,42.1657,-74.9481
211,North Carolina,5285,55,55,35.6301,-79.8064
212,North Dakota,254,17,17,47.5289,-99.78399999999999
213,Northern Mariana Islands,0,0,0,15.0979,145.6739
214,Ohio,7580,135,135,40.3888,-82.7649
215,Oklahoma,1509,19,19,35.5653,-96.9289
216,Oregon,1035,44,44,44.571999999999996,-122.0709
217,Pennsylvania,8734,199,199,40.5908,-77.2098
218,Puerto Rico,514,7,7,18.2208,-66.5901
219,Rhode Island,1144,13,13,41.6809,-71.5118
220,South Carolina,2601,14,14,33.8569,-80.945
221,South Dakota,433,0,0,44.2998,-99.4388
222,Tennessee,5399,99,99,35.7478,-86.6923
223,Texas,33027,238,238,31.0545,-97.5635
224,Utah,3318,7,7,40.15,-111.8624
225,Vermont,165,5,5,44.0459,-72.7107
226,Virgin Islands,28,0,0,18.3358,-64.8963
227,Virginia,4377,59,59,37.7693,-78.17
228,Washington,2332,59,59,47.4009,-121.4905
229,West Virginia,1276,46,46,38.4912,-80.9545
230,Wisconsin,4019,97,97,44.2685,-89.6165
231,Wyoming,312,26,26,42.756,-107.3025
232,Alabama,4591,108,108,32.3182,-86.9023
233,Alaska,340,2,2,61.3707,-152.4044
234,American Samoa,0,0,0,-14.270999999999999,-170.132
235,Arizona,7206,127,127,33.7298,-111.4312
236,Arkansas,3705,65,65,34.9697,-92.3731
237,California,39237,573,573,36.1162,-119.6816
238,Colorado,2557,59,59,39.0598,-105.3111
239,Connecticut,2486,38,38,41.5978,-72.7554
240,Delaware,629,9,9,39.3185,-75.5071
241,Diamond Princess,0,0,0,,
242,District of Columbia,316,5,5,38.8974,-77.0268
243,Florida,17783,129,129,27.7663,-81.6868
244,Georgia,7686,93,93,33.0406,-83.6431
245,Grand Princess,0,0,0,,
246,Guam,21,0,0,13.4443,144.7937
247,Hawaii,160,10,10,21.0943,-157.4983
248,Idaho,1263,17,17,44.2405,-114.4788
249,Illinois,7569,173,173,40.3495,-88.9861
250,Indiana,6146,83,83,39.8494,-86.2583
251,Iowa,2478,61,61,42.0115,-93.2105
252,Kansas,5296,35,35,38.5266,-96.7265
253,Kentucky,5705,34,34,37.6681,-84.6701
254,Louisiana,6876,46,46,31.1695,-91.8678
255,Maine,525,3,3,44.6939,-69.3819
256,Maryland,3146,50,50,39.0639,-76.8021
257,Massachusetts,6851,102,102,42.2302,-71.5301
258,Michigan,4856,59,59,43.3266,-84.5361
259,Minnesota,2326,76,76,45.6945,-93.9002
260,Mississippi,2791,38,38,32.7416,-89.6787
261,Missouri,3833,35,35,38.4561,-92.2884
262,Montana,682,10,10,46.9219,-110.4544
263,Nebraska,1436,11,11,41.1254,-98.2681
264,Nevada,1938,60,60,38.3135,-117.0554
265,New Hampshire,922,24,24,43.4525,-71.5639
266,New Jersey,5657,141,141,40.2989,-74.521
267,New Mexico,1485,47,47,34.8405,-106.2485
268,New York,16016,166,166,42.1657,-74.9481
269,North Carolina,6952,80,80,35.6301,-79.8064
270,North Dakota,338,5,5,47.5289,-99.78399999999999
271,Northern Mariana Islands,3,0,0,15.0979,145.6739
272,Ohio,7814,155,155,40.3888,-82.7649
273,Oklahoma,3324,62,62,35.5653,-96.9289
274,Oregon,735,8,8,44.571999999999996,-122.0709
275,Pennsylvania,9929,358,358,40.5908,-77.2098
276,Puerto Rico,293,8,8,18.2208,-66.5901
277,Rhode Island,1611,19,19,41.6809,-71.5118
278,South Carolina,5162,84,84,33.8569,-80.945
279,South Dakota,608,6,6,44.2998,-99.4388
280,Tennessee,7731,112,112,35.7478,-86.6923
281,Texas,20626,310,310,31.0545,-97.5635
282,Utah,3769,18,18,40.15,-111.8624
283,Vermont,120,3,3,44.0459,-72.7107
284,Virgin Islands,0,0,0,18.3358,-64.8963
285,Virginia,5387,35,35,37.7693,-78.17
