,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-01-03 05:30:33,32.3182,-86.9023,3711,0,0,162449.0,1.0,7535.061393767521,3283837.0,,1.3186884571453321,84000001.0,USA,66973.54882591621,
1,Alaska,US,2021-01-03 05:30:33,61.3707,-152.4044,802,9,9,40441.0,2.0,6536.986788235857,1290349.0,,0.44959327492105977,84000002.0,USA,176386.82514404444,
2,American Samoa,US,2021-01-03 05:30:33,-14.270999999999999,-170.132,0,0,0,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
3,Arizona,US,2021-01-03 05:30:33,33.7298,-111.4312,8883,46,46,452222.0,4.0,7407.212012776427,5218721.0,,1.6806083650190111,84000004.0,USA,39916.14181455331,
4,Arkansas,US,2021-01-03 05:30:33,34.9697,-92.3731,2000,18,18,24012.0,5.0,7669.219074532342,2079788.0,,1.6112028067507194,84000005.0,USA,68917.26566735281,
5,California,US,2021-01-03 05:30:33,36.1162,-119.6816,46385,276,276,,6.0,6286.110503071417,33391442.0,,1.0646667058542174,84000006.0,USA,84509.14543583133,
6,Colorado,US,2021-01-03 05:30:33,39.0598,-105.3111,2011,39,39,316043.0,8.0,5889.6952386773755,4474747.0,,1.4482327550623282,84000008.0,USA,77703.63149135505,
7,Connecticut,US,2021-01-03 05:30:33,41.5978,-72.7554,4412,104,104,174221.0,9.0,5332.530031944132,4383361.0,,3.20797391121397,84000009.0,USA,122945.5300512974,
8,Delaware,US,2021-01-03 05:30:33,39.3185,-75.5071,809,7,7,38950.0,10.0,6045.920777518988,991318.0,,1.8208686494657995,84000010.0,USA,101802.69551965363,
9,Diamond Princess,US,2021-01-03 05:30:33,,,0,0,0,,88888.0,,,,0.0,84088888.0,USA,,
10,District of Columbia,US,2021-01-03 05:30:33,38.8974,-77.0268,257,4,4,7715.0,11.0,4181.231570997621,911378.0,,2.683926937544478,84000011.0,USA,129136.27932876984,
11,Florida,US,2021-01-03 05:30:33,27.7663,-81.6868,31518,217,217,,12.0,6308.080781508778,17451529.0,,1.615697285200464,84000012.0,USA,81254.03993912392,
12,Georgia,US,2021-01-03 05:30:33,33.0406,-83.6431,7533,2,2,,13.0,6452.808746529172,5436988.0,,1.5997150872399368,84000013.0,USA,51208.16981672483,
13,Grand Princess,US,2021-01-03 05:30:33,,,0,0,0,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
14,Guam,US,2021-01-03 05:30:33,13.4443,144.7937,0,0,0,157.0,66.0,4460.844308861407,96201.0,,1.6653016653016652,316.0,GUM,58577.35235555231,
15,Hawaii,US,2021-01-03 05:30:33,21.0943,-157.4983,51,0,0,10201.0,15.0,1585.4540523437147,822805.0,,1.2874198146828226,84000015.0,USA,58112.95088821589,
16,Idaho,US,2021-01-03 05:30:33,44.2405,-114.4788,1122,12,12,82102.0,16.0,7957.125230475668,545485.0,,1.018291267871082,84000016.0,USA,30524.071592247623,
17,Illinois,US,2021-01-03 05:30:33,40.3495,-88.9861,11963,239,239,,17.0,7697.015290856776,13436652.0,,1.8677359558395328,84000017.0,USA,106035.68342703072,
18,Indiana,US,2021-01-03 05:30:33,39.8494,-86.2583,5317,94,94,166127.0,18.0,7769.949254473155,5769273.0,,1.8279837121719016,84000018.0,USA,85696.45461622684,
19,Iowa,US,2021-01-03 05:30:33,42.0115,-93.2105,915,48,48,36735.0,19.0,8998.057095405173,1175920.0,,1.3899505098716074,84000019.0,USA,37270.805402098835,
20,Kansas,US,2021-01-03 05:30:33,38.5266,-96.7265,11,1,1,222614.0,20.0,7898.873928453988,1012506.0,,1.2571756352148236,84000020.0,USA,34754.441162195355,
21,Kentucky,US,2021-01-03 05:30:33,37.6681,-84.6701,8709,75,75,233999.0,21.0,6132.275123985126,3210804.0,,0.9847793554038764,84000021.0,USA,71867.48000581062,
22,Louisiana,US,2021-01-03 05:30:33,31.1695,-91.8678,0,0,0,44075.0,22.0,6781.866436757577,4214182.0,,2.375069383871224,84000022.0,USA,90651.08068888405,
